(ON A E), (ON B D), (ON C B), (ON D F), (ON E H), (ON F I), (ON G J), (ON H G), (ON I A)
(ON A E), (ON B D), (ON C B), (ON D F), (ON E H), (ON F I), (ON H J), (ON I A), (ON J G)
(ON A H), (ON B D), (ON C B), (ON D F), (ON F I), (ON G E), (ON H J), (ON I A), (ON J G)
(ON A H), (ON B D), (ON C B), (ON D F), (ON E G), (ON F I), (ON H J), (ON I A), (ON J E)
(ON A J), (ON B D), (ON C B), (ON D F), (ON E G), (ON F I), (ON H A), (ON I H), (ON J E)
(ON A E), (ON B C), (ON C D), (ON D F), (ON E H), (ON F I), (ON G J), (ON H G), (ON I A)
(ON A H), (ON B C), (ON C D), (ON D F), (ON E G), (ON F I), (ON H J), (ON I A), (ON J E)
(ON A E), (ON B C), (ON C D), (ON D F), (ON E H), (ON F I), (ON H J), (ON I A), (ON J G)
(ON A E), (ON B C), (ON C D), (ON D F), (ON E G), (ON F I), (ON G J), (ON I A), (ON J H)
(ON A J), (ON B C), (ON C D), (ON D F), (ON E G), (ON F I), (ON H A), (ON I H), (ON J E)
(ON A E), (ON B C), (ON C F), (ON D B), (ON E H), (ON F I), (ON G J), (ON H G), (ON I A)
(ON A E), (ON B C), (ON C F), (ON D B), (ON E H), (ON F I), (ON H J), (ON I A), (ON J G)
(ON A J), (ON B C), (ON C F), (ON D B), (ON E H), (ON F I), (ON G E), (ON H A), (ON I G)
(ON A E), (ON B F), (ON C I), (ON D B), (ON E H), (ON F C), (ON H J), (ON I A), (ON J G)
(ON A H), (ON B F), (ON C I), (ON D B), (ON E A), (ON F C), (ON G J), (ON H G), (ON I E)
(ON A E), (ON B C), (ON C D), (ON D I), (ON E H), (ON F B), (ON G J), (ON H G), (ON I A)
(ON A E), (ON B C), (ON C D), (ON D I), (ON E H), (ON F B), (ON H J), (ON I A), (ON J G)
(ON A J), (ON B C), (ON C D), (ON D I), (ON E H), (ON F B), (ON G E), (ON H A), (ON I G)
(ON A E), (ON B D), (ON C I), (ON D C), (ON E H), (ON F B), (ON H J), (ON I A), (ON J G)
(ON A H), (ON B C), (ON C D), (ON D I), (ON E A), (ON F B), (ON G J), (ON H G), (ON I E)
