(CLEAR D), (ON A W), (ON D R), (ON R A), (ON-TABLE W)
(CLEAR W), (ON A R), (ON W A), (ON-TABLE R)
(CLEAR R), (ON A W), (ON R A), (ON-TABLE W)
(CLEAR W), (ON A D), (ON W A), (ON-TABLE D)
(CLEAR C), (ON C R), (ON O W), (ON R O), (ON-TABLE W)
(CLEAR R), (ON O W), (ON R O), (ON-TABLE W)
(CLEAR W), (ON A R), (ON E A), (ON W E), (ON-TABLE R)
(CLEAR E), (ON A R), (ON E A), (ON-TABLE R)
(CLEAR P), (ON A R), (ON E A), (ON P E), (ON-TABLE R)
(CLEAR R), (ON O P), (ON P E), (ON R O), (ON-TABLE E)
(CLEAR D), (ON D O), (ON O P), (ON P E), (ON-TABLE E)
(CLEAR D), (ON A R), (ON D E), (ON E A), (ON-TABLE R)
(CLEAR W), (ON O R), (ON R E), (ON W O), (ON-TABLE E)
(CLEAR P), (ON E R), (ON O W), (ON P O), (ON W E), (ON-TABLE R)
(CLEAR R), (ON A P), (ON E A), (ON R E), (ON-TABLE P)
(CLEAR C), (ON C O), (ON E R), (ON O W), (ON W E), (ON-TABLE R)
(CLEAR C), (ON C O), (ON O R), (ON R E), (ON-TABLE E)
(CLEAR P), (ON O R), (ON P O), (ON R E), (ON-TABLE E)
(CLEAR W), (ON A D), (ON D E), (ON W A), (ON-TABLE E)
(CLEAR P), (ON A W), (ON P A), (ON-TABLE W)
(CLEAR R), (ON A P), (ON P E), (ON R A), (ON-TABLE E)
