(ON A J), (ON B H), (ON D B), (ON E G), (ON F E), (ON G C), (ON H K), (ON I F), (ON J D), (ON K I)
(ON A J), (ON B H), (ON C G), (ON D B), (ON E C), (ON F E), (ON H K), (ON I F), (ON J D), (ON K I)
(ON A J), (ON B H), (ON D B), (ON E G), (ON F I), (ON G C), (ON H K), (ON I E), (ON J D), (ON K F)
(ON A J), (ON B H), (ON C E), (ON D B), (ON F I), (ON G C), (ON H K), (ON I G), (ON J D), (ON K F)
(ON A J), (ON B H), (ON C E), (ON D B), (ON F C), (ON G I), (ON H K), (ON I F), (ON J D), (ON K G)
(ON A D), (ON B K), (ON D H), (ON E G), (ON F E), (ON G C), (ON H B), (ON I F), (ON J A), (ON K I)
(ON A D), (ON B K), (ON C G), (ON D H), (ON E C), (ON F E), (ON H B), (ON I F), (ON J A), (ON K I)
(ON A D), (ON B K), (ON D H), (ON E G), (ON F I), (ON G C), (ON H B), (ON I E), (ON J A), (ON K F)
(ON A D), (ON B K), (ON C E), (ON D H), (ON F I), (ON G C), (ON H B), (ON I G), (ON J A), (ON K F)
(ON A H), (ON B K), (ON C E), (ON D J), (ON F I), (ON G C), (ON H B), (ON I G), (ON J A), (ON K F)
(ON A H), (ON B K), (ON D J), (ON E G), (ON F I), (ON G C), (ON H B), (ON I E), (ON J A), (ON K F)
(ON A J), (ON B K), (ON C E), (ON D A), (ON F I), (ON G C), (ON H B), (ON I G), (ON J H), (ON K F)
(ON A J), (ON B K), (ON D A), (ON E G), (ON F I), (ON G C), (ON H B), (ON I E), (ON J H), (ON K F)
(ON A J), (ON B K), (ON C E), (ON D A), (ON F C), (ON G I), (ON H B), (ON I F), (ON J H), (ON K G)
(ON A J), (ON B K), (ON C G), (ON D A), (ON E C), (ON F E), (ON H B), (ON I F), (ON J H), (ON K I)
(ON A H), (ON B K), (ON C E), (ON D J), (ON F I), (ON G C), (ON H D), (ON I G), (ON J B), (ON K F)
(ON A H), (ON B K), (ON D J), (ON E G), (ON F I), (ON G C), (ON H D), (ON I E), (ON J B), (ON K F)
(ON A H), (ON B K), (ON C E), (ON D J), (ON F C), (ON G I), (ON H D), (ON I F), (ON J B), (ON K G)
(ON A H), (ON B K), (ON C G), (ON D J), (ON E C), (ON F E), (ON H D), (ON I F), (ON J B), (ON K I)
(ON A H), (ON B I), (ON D J), (ON E G), (ON F E), (ON G C), (ON H D), (ON I F), (ON J K), (ON K B)
