(ON A K), (ON B H), (ON C D), (ON D E), (ON E J), (ON G C), (ON H A), (ON I G), (ON J B), (ON K F)
(ON B H), (ON C D), (ON D E), (ON E J), (ON F A), (ON G C), (ON H K), (ON I G), (ON J B), (ON K F)
(ON A K), (ON B A), (ON C D), (ON D E), (ON E J), (ON G C), (ON H B), (ON I G), (ON J H), (ON K F)
(ON A F), (ON B H), (ON C E), (ON D J), (ON E D), (ON F K), (ON G C), (ON H A), (ON I G), (ON J B)
(ON B H), (ON C J), (ON D E), (ON E B), (ON F A), (ON G C), (ON H K), (ON I G), (ON J D), (ON K F)
(ON A K), (ON B H), (ON C E), (ON D C), (ON E J), (ON G I), (ON H A), (ON I D), (ON J B), (ON K F)
(ON B H), (ON C E), (ON D C), (ON E J), (ON F A), (ON G I), (ON H K), (ON I D), (ON J B), (ON K F)
(ON A K), (ON B A), (ON C J), (ON D C), (ON E H), (ON G I), (ON H B), (ON I D), (ON J E), (ON K F)
(ON A F), (ON B A), (ON C J), (ON D C), (ON E H), (ON F K), (ON G I), (ON H B), (ON I D), (ON J E)
(ON A K), (ON B F), (ON C J), (ON D C), (ON E H), (ON F A), (ON G I), (ON H B), (ON I D), (ON J E)
(ON B H), (ON C D), (ON D I), (ON E J), (ON F K), (ON G E), (ON H F), (ON I G), (ON J B), (ON K A)
(ON B J), (ON C D), (ON D I), (ON E B), (ON F K), (ON G E), (ON H F), (ON I G), (ON J H), (ON K A)
(ON B F), (ON C D), (ON D I), (ON E G), (ON F K), (ON G J), (ON H B), (ON I E), (ON J H), (ON K A)
(ON B J), (ON C D), (ON D I), (ON E H), (ON F K), (ON G E), (ON H B), (ON I G), (ON J F), (ON K A)
(ON A K), (ON B H), (ON C D), (ON D I), (ON E J), (ON G E), (ON H A), (ON I G), (ON J B), (ON K F)
(ON B H), (ON C E), (ON D G), (ON E J), (ON F K), (ON G I), (ON H F), (ON I C), (ON J B), (ON K A)
(ON B J), (ON C E), (ON D G), (ON E B), (ON F K), (ON G I), (ON H F), (ON I C), (ON J H), (ON K A)
(ON B J), (ON C E), (ON D G), (ON E H), (ON F K), (ON G I), (ON H B), (ON I C), (ON J F), (ON K A)
(ON A K), (ON B H), (ON C E), (ON D G), (ON E J), (ON G I), (ON H A), (ON I C), (ON J B), (ON K F)
(ON A H), (ON B K), (ON C E), (ON D G), (ON E J), (ON G I), (ON H B), (ON I C), (ON J A), (ON K F)
