(CLEAR S), (ON A R), (ON S T), (ON T A), (ON-TABLE R)
(CLEAR T), (ON A S), (ON R A), (ON S H), (ON T R), (ON-TABLE H)
(CLEAR R), (ON A S), (ON R A), (ON S H), (ON-TABLE H)
(CLEAR A), (ON A S), (ON S H), (ON-TABLE H)
(CLEAR C), (ON A S), (ON C R), (ON R A), (ON S H), (ON-TABLE H)
(CLEAR C), (ON A S), (ON C A), (ON S H), (ON-TABLE H)
(CLEAR S), (ON H U), (ON S H), (ON U T), (ON-TABLE T)
(CLEAR C), (ON C U), (ON U T), (ON-TABLE T)
(CLEAR R), (ON R U), (ON U T), (ON-TABLE T)
(CLEAR T), (ON S H), (ON T U), (ON U S), (ON-TABLE H)
(CLEAR R), (ON R U), (ON S H), (ON U S), (ON-TABLE H)
(CLEAR C), (ON C R), (ON R U), (ON S H), (ON U S), (ON-TABLE H)
(CLEAR T), (ON C K), (ON R U), (ON T R), (ON U C), (ON-TABLE K)
(CLEAR S), (ON C K), (ON S U), (ON U C), (ON-TABLE K)
(CLEAR T), (ON C K), (ON T U), (ON U C), (ON-TABLE K)
(CLEAR R), (ON C K), (ON R U), (ON U C), (ON-TABLE K)
(CLEAR R), (ON R U), (ON S T), (ON U S), (ON-TABLE T)
(CLEAR H), (ON A C), (ON C K), (ON H A), (ON-TABLE K)
(CLEAR S), (ON A C), (ON C K), (ON S A), (ON-TABLE K)
(CLEAR C), (ON C U), (ON R T), (ON U R), (ON-TABLE T)
