(BOARD-TRUCK DRIVER3 TRUCK2 S1)
(DRIVE-TRUCK TRUCK2 S1 S2 DRIVER3)
(LOAD-TRUCK PACKAGE2 TRUCK1 S0)
(LOAD-TRUCK PACKAGE1 TRUCK1 S0)
(BOARD-TRUCK DRIVER1 TRUCK1 S0)
(DRIVE-TRUCK TRUCK1 S0 S2 DRIVER1)
(LOAD-TRUCK PACKAGE3 TRUCK1 S2)
(UNLOAD-TRUCK PACKAGE2 TRUCK1 S2)
(DISEMBARK-TRUCK DRIVER1 TRUCK1 S2)
(BOARD-TRUCK DRIVER2 TRUCK1 S2)
(DRIVE-TRUCK TRUCK1 S2 S0 DRIVER2)
(UNLOAD-TRUCK PACKAGE3 TRUCK1 S0)
(DRIVE-TRUCK TRUCK1 S0 S2 DRIVER2)
(DRIVE-TRUCK TRUCK1 S2 S1 DRIVER2)
(UNLOAD-TRUCK PACKAGE1 TRUCK1 S1)
(DRIVE-TRUCK TRUCK1 S1 S2 DRIVER2)
(DRIVE-TRUCK TRUCK1 S2 S0 DRIVER2)
(DISEMBARK-TRUCK DRIVER2 TRUCK1 S0)
(WALK DRIVER2 S0 P8-11)
(WALK DRIVER2 P8-11 S1)
