(WALK DRIVER1 P11-0 S4)
(DRIVE-TRUCK TRUCK3 S4 S3 DRIVER1)
(BOARD-TRUCK DRIVER2 TRUCK1 S0)
(LOAD-TRUCK PACKAGE5 TRUCK1 S1)
(LOAD-TRUCK PACKAGE4 TRUCK1 S1)
(DRIVE-TRUCK TRUCK1 S1 S2 DRIVER2)
(LOAD-TRUCK PACKAGE2 TRUCK1 S2)
(LOAD-TRUCK PACKAGE1 TRUCK1 S2)
(DRIVE-TRUCK TRUCK1 S2 S6 DRIVER2)
(DRIVE-TRUCK TRUCK1 S6 S8 DRIVER2)
(DRIVE-TRUCK TRUCK1 S8 S4 DRIVER2)
(UNLOAD-TRUCK PACKAGE4 TRUCK1 S4)
(UNLOAD-TRUCK PACKAGE3 TRUCK1 S4)
(UNLOAD-TRUCK PACKAGE5 TRUCK1 S3)
(DRIVE-TRUCK TRUCK1 S3 S9 DRIVER2)
(UNLOAD-TRUCK PACKAGE1 TRUCK1 S0)
(DRIVE-TRUCK TRUCK1 S0 S6 DRIVER2)
(DISEMBARK-TRUCK DRIVER2 TRUCK1 S6)
(WALK DRIVER2 P6-4 S1)
