(SWITCH_ON INSTRUMENT2 SATELLITE3)
(SWITCH_ON INSTRUMENT1 SATELLITE1)
(SWITCH_ON INSTRUMENT0 SATELLITE0)
(TURN_TO SATELLITE3 PLANET11 PHENOMENON5)
(TURN_TO SATELLITE2 PHENOMENON5 PLANET9)
(TURN_TO SATELLITE1 PLANET8 PLANET12)
(CALIBRATE SATELLITE1 INSTRUMENT1 PLANET8)
(TAKE_IMAGE SATELLITE1 PLANET8 INSTRUMENT1 IMAGE1)
(TURN_TO SATELLITE1 PHENOMENON5 PLANET8)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT1 IMAGE1)
(TURN_TO SATELLITE1 STAR1 PHENOMENON5)
(TURN_TO SATELLITE0 PLANET11 STAR6)
(CALIBRATE SATELLITE0 INSTRUMENT0 PLANET11)
(TURN_TO SATELLITE0 PLANET9 PLANET11)
(TAKE_IMAGE SATELLITE0 PLANET9 INSTRUMENT0 IMAGE0)
(TURN_TO SATELLITE3 STAR3 PLANET11)
(CALIBRATE SATELLITE3 INSTRUMENT2 STAR3)
(TURN_TO SATELLITE3 PLANET11 STAR3)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT2 IMAGE2)
(TURN_TO SATELLITE1 STAR6 STAR1)
(TAKE_IMAGE SATELLITE1 STAR6 INSTRUMENT1 IMAGE1)
(TURN_TO SATELLITE1 STAR1 STAR6)
