(SWITCH_ON INSTRUMENT5 SATELLITE2)
(CALIBRATE SATELLITE2 INSTRUMENT5 STAR16)
(SWITCH_ON INSTRUMENT3 SATELLITE0)
(TURN_TO SATELLITE4 PLANET5 STAR12)
(TURN_TO SATELLITE3 PLANET9 STAR4)
(TURN_TO SATELLITE2 STAR12 STAR16)
(TAKE_IMAGE SATELLITE2 STAR12 INSTRUMENT5 INFRARED3)
(TURN_TO SATELLITE1 PLANET10 STAR11)
(TURN_TO SATELLITE0 STAR16 PLANET9)
(CALIBRATE SATELLITE0 INSTRUMENT3 STAR16)
(TURN_TO SATELLITE0 PHENOMENON14 STAR16)
(TAKE_IMAGE SATELLITE0 PHENOMENON14 INSTRUMENT3 IMAGE4)
(TURN_TO SATELLITE0 PLANET9 PHENOMENON14)
(TAKE_IMAGE SATELLITE0 PLANET9 INSTRUMENT3 IMAGE4)
(TURN_TO SATELLITE0 STAR15 PLANET9)
(TAKE_IMAGE SATELLITE0 STAR15 INSTRUMENT3 IMAGE2)
(TURN_TO SATELLITE0 STAR7 STAR15)
(TAKE_IMAGE SATELLITE0 STAR7 INSTRUMENT3 IMAGE4)
