(TURN_TO SATELLITE0 PLANET11 PHENOMENON12)
(CALIBRATE SATELLITE4 INSTRUMENT5 STAR9)
(TAKE_IMAGE SATELLITE4 PHENOMENON12 INSTRUMENT5 IMAGE3)
(TAKE_IMAGE SATELLITE4 PHENOMENON6 INSTRUMENT5 IMAGE2)
(TURN_TO SATELLITE4 PLANET10 PHENOMENON6)
(TURN_TO SATELLITE4 PLANET11 PLANET10)
(TAKE_IMAGE SATELLITE4 PLANET11 INSTRUMENT5 IMAGE3)
(TURN_TO SATELLITE4 STAR14 PLANET11)
(TURN_TO SATELLITE1 STAR2 PHENOMENON6)
(CALIBRATE SATELLITE1 INSTRUMENT1 STAR2)
(TAKE_IMAGE SATELLITE1 PHENOMENON8 INSTRUMENT1 INFRARED1)
(TURN_TO SATELLITE4 PLANET10 STAR14)
