(SWITCH_ON INSTRUMENT1 SATELLITE3)
(SWITCH_ON INSTRUMENT6 SATELLITE0)
(TURN_TO SATELLITE2 PHENOMENON12 STAR4)
(TURN_TO SATELLITE0 PHENOMENON8 PLANET11)
(TURN_TO SATELLITE4 STAR14 PHENOMENON12)
(CALIBRATE SATELLITE4 INSTRUMENT10 STAR14)
(TURN_TO SATELLITE4 PLANET11 PHENOMENON12)
(TURN_TO SATELLITE3 STAR2 PLANET10)
(CALIBRATE SATELLITE3 INSTRUMENT1 STAR2)
(TAKE_IMAGE SATELLITE3 PHENOMENON13 INSTRUMENT1 IMAGE3)
(TURN_TO SATELLITE3 PLANET10 PHENOMENON13)
(TAKE_IMAGE SATELLITE3 PLANET10 INSTRUMENT1 IMAGE3)
(TURN_TO SATELLITE0 STAR9 PHENOMENON8)
(CALIBRATE SATELLITE0 INSTRUMENT6 STAR9)
(TURN_TO SATELLITE0 PHENOMENON8 STAR9)
(TURN_TO SATELLITE3 STAR14 PLANET11)
(TAKE_IMAGE SATELLITE3 STAR14 INSTRUMENT1 IMAGE3)
(TURN_TO SATELLITE3 STAR0 STAR14)
